X;Y;Z
0.392459954698441;-3.22192771575155E-02;0.532711833193214
0.395298412361734;-3.33144156766275E-02;0.534943544992813
0.398184618198939;-3.44415495546242E-02;0.537096714766973
0.401116983165856;-3.55954584917251E-02;0.539171932628451
0.404093916633448;-3.67711753095231E-02;0.541170031214817
0.407113831436344;-0.0379639938786;0.543092055724803
0.410175148556086;-3.91694734100037E-02;0.544939235395606
0.413276301470105;-4.03834395597429E-02;0.546712956598931
0.416415740186284;-4.16019827733046E-02;0.548414737669038
0.419591934973964;-4.28214542699952E-02;0.550046205523424
0.422803379802103;-0.044038460029022;0.551609074085136
0.426048595257662;-4.52498533536411E-02;0.553105124786773
0.429326130714852;-4.64527266663985E-02;0.554536189455874
0.432634566557558;-4.76444020412308E-02;0.555904134495679
0.435972516125785;-4.88224209965745E-02;0.557210846692615
0.439338627286099;-4.99845338950267E-02;0.5584582207067
0.442731583666722;-5.11286891286941E-02;0.559648148115521
0.446150105593259;-5.22530222393224E-02;0.560782507883676
0.449592950756903;-0.053355845096156;0.561863158132212
0.453058914643546;-5.44356352317646E-02;0.56289192908931
0.456546830749408;-5.54910254164373E-02;0.563870617108289
0.460055564900403;-5.65207918864009E-02;0.56480097817647
0.463584036404726;-5.75238507916052E-02;0.56568472934798
0.467131187716359;-5.84992399683036E-02;0.566523537350877
